name,radar_an,radar_an2,radar_m0,radar_per,nobrak,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh,hdg,dir_std,wind_speed,radar_len,max_std,mean_std
22-10-04_11-50,77,77,0.5544534930585358,5.423728813559322,1.0,200,,1.5,,6.6,,16.0,,154.75670937337708,53.617851766849576,3.61943699429135,3.8233541666666655,,199.8,242,18.0976848602295,74.8051948051948,51.4052526498995,16.714876823489526
22-10-06_11-56,338,338,1.3396906901481904,9.27536231884058,1.0,270,,1.7,,10.2,,32.8,,148.32908397169356,49.465689415725535,-4.338249013892513,6.154416666666667,0.583,234.9,231,9.80143928527832,35.33742331288343,52.86480398147713,16.262611755530372
22-10-07_08-54,335,335,1.6837600126126264,10.666666666666666,1.0,302,260.0,2.3,1.5,9.8,10.0,26.8,20.0,98.9732906007378,47.57047082436466,-8.643062162134713,4.667270833333333,3.427,237.8,304,10.7154674530029,58.18181818181818,59.550398823181695,20.442771375963805
22-10-07_11-55,338,338,1.7093316109919672,11.851851851851851,1.0,297,326.0,2.7,1.7,12.0,6.7,42.0,25.0,108.08474133815317,47.32652844330105,-9.161777499711627,4.394541666666666,2.976,238.0,287,9.63406467437744,85.97014925373134,54.94087731370878,15.621000029070148
22-10-08_12-00,302,302,2.172320426678344,12.075471698113208,1.0,326,,3.1,,13.2,,96.0,,105.08928121333544,45.88672231275208,-13.126106849239378,4.386822916666667,2.953,254.7,124,6.9033784866333,35.33742331288343,55.98381462530041,15.063221560770744
22-10-09_11-56,13,13,0.7149695756855539,6.666666666666667,1.0,248,,1.58,,7.4,,20.3,,106.24960080520567,43.16076344373687,-14.95213338742504,4.651833333333333,1.681,204.8,259,10.982177734375,1920.0,54.15025392368904,16.146620675745396
22-10-10_12-00,303,303,0.8946073751758113,12.075471698113208,1.0,338,,1.7,,5.6,,12.8,,63.9305020921349,40.41244568514511,-15.530965935978456,4.528333333333334,,219.2,338,10.596718788147,34.909090909090914,58.836107111194906,19.26961313295444
22-10-11_12-04,271,271,0.8527637540268312,10.158730158730158,1.0,338,,1.6,,8.8,,26.0,,64.63717089934421,37.7364762833319,-17.08912115356849,4.399687500000001,2.891,241.7,0,11.2921657562256,155.67567567567568,57.684486649358334,19.751173458307715
22-10-12_12-04,250,250,0.2264122994090047,13.91304347826087,1.0,23,,1.4,,12.3,,37.5,,41.49213853665405,35.69609453663216,-20.103732724430245,4.718729166666667,1.949,220.0,343,7.67105627059937,180.0,56.37098100973585,17.277043635257137
22-10-13_13-02,235,235,0.3227807947657862,14.545454545454543,1.0,30,,1.0,,7.6,,23.0,,42.48489865324744,32.54711766001646,-21.97851283827325,4.7084375,,193.8,28,6.57497072219849,180.0,55.33985905294664,16.353210785052866
